event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-08 14:32:39 UTC,view,16100115,2053013558156853815,,berghoff,105.77,516140850,635fd600-2027-4d1a-b55c-6531bff2114b
2019-10-08 15:08:05 UTC,view,1005098,2053013555631882655,electronics.smartphone,samsung,151.36,553313092,49c41c0c-233a-44b2-8826-91432f3b921e
2019-10-13 14:54:10 UTC,view,22700076,2053013556168753601,,stels,33.46,542995510,e0c3ff04-758c-4b01-b0f8-698a03343179
2019-10-06 02:38:11 UTC,view,50700010,2175419595093967522,,agl,114.55,520227570,fe337d12-50ac-430c-99ef-e292498a9c6c
2019-10-30 14:52:39 UTC,view,26600058,2053013563517174627,,lucente,95.24,565805823,46ed4e19-8986-4283-9913-c84671a35db8
2019-10-08 22:43:24 UTC,view,1801704,2053013554415534427,electronics.video.tv,samsung,424.46,514530745,1e1346fd-392d-4c66-a3f5-90e490600fb8
2019-10-26 03:11:49 UTC,view,1004741,2053013555631882655,electronics.smartphone,xiaomi,189.97,518791750,2d9933b6-6a49-4426-a6d8-9740f4473237
2019-10-30 17:25:36 UTC,view,28715765,2053013565069067197,apparel.shoes.keds,nexpero,51.22,557930942,eae5c814-bf20-4d9f-8085-9dc9e048e869
2019-10-22 23:41:50 UTC,view,28714298,2053013565069067197,apparel.shoes.keds,nike,177.59,563139136,80704f16-8081-4902-8574-0a08b9d4d340
2019-10-31 07:44:10 UTC,view,12201449,2116907525176557699,sport.bicycle,axis,175.04,517890587,834f28e8-2970-46ac-8dc3-11d50d9929d3
2019-10-30 20:29:01 UTC,view,1005186,2053013555631882655,electronics.smartphone,samsung,771.94,560378668,8c78dc28-2fea-474e-92fa-3b6c70fdb1ad
2019-10-28 10:00:02 UTC,view,1004903,2053013555631882655,electronics.smartphone,huawei,111.18,519288095,1bba54eb-a270-4109-986e-14f9e41aca7d
2019-10-26 07:53:35 UTC,view,1004227,2053013555631882655,electronics.smartphone,apple,1002.34,564296879,61ff4d67-4381-478e-9100-97455f7e947f
2019-10-27 02:02:17 UTC,view,15800108,2053013560144954031,,alteco,69.11,546028030,3bdc4b26-739a-47d4-8afd-c9e04ff5940a
2019-10-28 18:35:56 UTC,view,28721804,2053013565069067197,apparel.shoes.keds,adidas,102.71,515476572,522238c0-0793-4adc-8c18-8b04031cbf85
2019-10-06 07:44:20 UTC,cart,1004857,2053013555631882655,electronics.smartphone,samsung,130.25,546015402,1ca49fc7-e7bb-4819-9fef-e71d930fff86
2019-10-20 14:22:53 UTC,view,1307339,2053013558920217191,computers.notebook,asus,592.01,514775113,7e6c3334-8ea1-4aa2-ade7-251823604b80
2019-10-02 14:27:14 UTC,view,1004428,2053013555631882655,electronics.smartphone,huawei,692.14,549920607,c099bda7-9077-4a89-bdaa-03c558bd8b54
2019-10-07 17:00:37 UTC,view,1004750,2053013555631882655,electronics.smartphone,samsung,197.76,512987804,6e34283b-203e-4c84-98f0-0db1c1f413ad
2019-10-02 11:00:37 UTC,view,1004776,2053013555631882655,electronics.smartphone,xiaomi,185.08,555981128,c89d7c03-c9ac-4360-9785-3f8495b7df9d
2019-10-28 01:59:32 UTC,view,49400022,2134905045613805589,,,151.87,543845152,192e870b-aad6-4179-8fa9-d0494615cfa8
2019-10-02 08:57:05 UTC,view,1004443,2053013555631882655,electronics.smartphone,meizu,257.38,521992793,be167e2c-fa80-488a-862e-abd2ebbf124f
2019-10-08 05:09:33 UTC,view,32801069,2055156924273394455,,,669.23,535445800,6364bc13-65fa-464d-88b0-be403ebdcd09
2019-10-23 19:48:58 UTC,view,6800723,2053013554222596431,computers.components.hdd,seagate,67.98,528059797,1294aeba-bf60-45bf-b404-8fa72070956e
2019-10-20 10:43:46 UTC,view,1004650,2053013555631882655,electronics.smartphone,samsung,627.31,562174420,a69aafba-c276-4ccf-a4de-dfc20fb7ebe1
2019-10-13 08:02:04 UTC,view,12706857,2053013553559896355,,viatti,38.48,551492895,cf58f19f-1509-4640-99ae-cb52301bfc37
2019-10-15 11:29:41 UTC,view,8500143,2053013552259662037,,navien,813.09,525756277,09adbe7e-88f2-4e04-a40a-74fa758dc859
2019-10-30 13:06:02 UTC,view,1003768,2053013555631882655,electronics.smartphone,huawei,485.54,558493755,0ac335de-98aa-42d7-b6ec-5171cb075409
2019-10-16 08:51:05 UTC,view,13300616,2053013557166998015,,askona,412.85,513359812,495082b6-6d25-44b7-a7ac-6c8d719df281
2019-10-07 03:28:02 UTC,view,9500129,2053013552502931683,computers.peripherals.camera,huawei,77.2,548861862,6b738069-37d5-42a8-ad05-c82b8213cd47
2019-10-09 13:37:45 UTC,view,42600164,2096280601366626625,,,52.25,557704453,2ef25da7-1d5d-4857-b68a-eeacfddd0c63
2019-10-27 09:56:15 UTC,purchase,1004870,2053013555631882655,electronics.smartphone,samsung,279.4,548946180,179fec90-eba3-4c36-9ff6-5e0f1e3ceca3
2019-10-07 05:53:52 UTC,view,21401444,2053013561579406073,electronics.clocks,casio,32.92,554839115,a3d5848f-733c-4f25-a30e-ae9dfabd07bc
2019-10-03 07:46:18 UTC,view,1003305,2053013555631882655,electronics.smartphone,apple,607.63,556277032,bebbbafb-7352-4fbb-a89a-37af11a75412
